address,neighborhood,list_price,lat,lon,estimator_low,estimator_final,estimator_high,estimator_range,delta_list_minus_estimator,delta_estimator_minus_list,confidence_score,confidence_label,error
#503 9720 106 ST NW,Downtown,259800.0,53.5346258,-113.5030747,377666.4,496929.48,616192.56,238526.16000000003,-237129.47999999998,237129.47999999998,99.0,high,
#704 9707 105 ST NW,Rosslyn,269999.0,53.5941775,-113.500729,329384.74,394005.3,458625.86,129241.12,-124006.29999999999,124006.29999999999,99.0,high,
#304 9819 104 ST NW,Downtown,225000.0,53.5363952,-113.498774,191707.84,237926.07,284144.3,92436.45999999999,-12926.070000000007,12926.070000000007,99.0,high,
6247 162B AV NW,Matt Berry,495000.0,53.6248667,-113.4326966,437334.42,513643.6,589952.78,152618.36000000004,-18643.599999999977,18643.599999999977,99.0,high,
#424 5951 165 AV NW,Carlton,147500.0,53.626701,-113.55389,369519.77,427499.37,485478.97,115959.19999999995,-279999.37,279999.37,99.0,high,
5938 162B AV NW,Matt Berry,375000.0,53.6248972,-113.4298557,392090.75,459030.0,525969.25,133878.5,-84030.0,84030.0,99.0,high,
15815 63 ST NW,Fulton Place,525000.0,53.5427462,-113.4293977,10227.55,14048.83,17870.11,7642.560000000001,510951.17,-510951.17,96.5,high,
6018 156 AV NW,Matt Berry,459900.0,53.6182992,-113.4331996,443501.46,516536.06,589570.66,146069.2,-56636.06,56636.06,99.0,high,
#105 5951 165 AV NW,Carlton,184900.0,53.626701,-113.55389,369519.77,427499.37,485478.97,115959.19999999995,-242599.37,242599.37,99.0,high,
#111 5951 165 AV NW,Carlton,189900.0,53.626701,-113.55389,369519.77,427499.37,485478.97,115959.19999999995,-237599.37,237599.37,99.0,high,
2636 62 ST SW,Charlesworth,489900.0,53.4310213,-113.4363415,397142.28,466471.55,535800.82,138658.53999999992,23428.45000000001,-23428.45000000001,99.0,high,
2638 62 ST SW,Charlesworth,474900.0,53.4310213,-113.4363415,397142.28,466471.55,535800.82,138658.53999999992,8428.450000000012,-8428.450000000012,99.0,high,
6404 27 AV SW,Mattson,499900.0,53.4084866,-113.4365904,399001.68,548079.23,697156.78,298155.10000000003,-48179.22999999998,48179.22999999998,96.5,high,
6411 27 AV SW,Mattson,625900.0,53.4084866,-113.4365904,399001.68,548079.23,697156.78,298155.10000000003,77820.77000000002,-77820.77000000002,96.5,high,
#46 710 Mattson DR SW,Mattson,389900.0,53.4078504,-113.4361767,374126.64,513910.22,653693.8,279567.16000000003,-124010.21999999997,124010.21999999997,96.5,high,
2632 62 ST SW,Charlesworth,459900.0,53.4310213,-113.4363415,397142.28,466471.55,535800.82,138658.53999999992,-6571.549999999988,6571.549999999988,99.0,high,
2637 62 ST SW,Charlesworth,479900.0,53.4310213,-113.4363415,397142.28,466471.55,535800.82,138658.53999999992,13428.450000000012,-13428.450000000012,99.0,high,
