neighborhood,sample_count,avg_list_price,avg_estimator_final,avg_estimator_range,avg_list_minus_estimator
Sunwapta Industrial,1.0,195999.0,11045566.04,6008787.92,-10849567.04
Sweet Grass,9.0,190844.22222222222,495564.2588888889,221375.71555555554,-304720.0366666667
Tamarack,9.0,495999.8888888889,3150066.8588888887,811640.8288888889,-2654066.97
Tawa,6.0,317883.3333333333,12792552.893333333,5892764.990000001,-12474669.56
Terra Losa,15.0,354546.6666666667,3910689.3386666668,1867707.0293333333,-3556142.672
Terrace Heights,7.0,482414.28571428574,510854.22571428574,239674.99142857146,-28439.94000000001
Terwillegar Towne,16.0,500392.3125,707751.23,323126.31,-207358.9175
The Hamptons,20.0,527418.5,574248.5655,222454.44000000003,-46830.0655
The Orchards At Ellerslie,8.0,569199.875,504338.94375,172062.16,64860.93125
The Orchards at Ellerslie,4.0,496572.0,477460.1,205466.39,19111.899999999994
The Uplands,2.0,474499.0,549355.6,263690.67999999993,-74856.59999999998
Thorncliff,5.0,392720.0,469028.708,170318.072,-76308.708
Tipaskan,5.0,334658.0,259935.538,88092.71999999999,74722.46200000001
Trumpeter,13.0,516876.92307692306,582334.1815384615,237434.05230769233,-65457.258461538455
Tweddle Place,5.0,367760.0,388485.336,154390.024,-20725.33599999999
Twin Brooks,19.0,480631.5789473684,566340.207368421,222238.92947368423,-85708.62842105264
University of Alberta,2.0,1182450.0,10925902.799999999,5925250.009999999,-9743452.799999999
University of Alberta South Campus,1.0,779990.0,5113883.91,2781952.84,-4333893.91
Virginia Park,8.0,508915.125,26726185.2425,12414006.597499998,-26217270.1175
Walker,12.0,523041.6666666667,530860.2225,187665.24,-7818.5558333333465
Webber Greens,1.0,459900.0,505016.87,175332.62000000005,-45116.869999999995
Wedgewood Heights,8.0,1140236.0,870118.22375,390177.655,270117.77625
Weinlos,18.0,319074.94444444444,373668.7961111111,142868.32666666666,-54593.85166666667
Wellington,4.0,437449.75,406710.865,172387.19,30738.885000000024
West Jasper Place,12.0,233558.25,976358.3808333334,455631.76499999996,-742800.1308333334
West Jasper Place (Neighbourhood),8.0,992837.375,908333.25375,433371.395,84504.12125000001
West Meadowlark Park,5.0,280515.4,240415.482,86071.04,40099.918000000005
Westbrook Estates,4.0,3543225.0,1041037.6299999999,566324.47,2502187.37
Westmount,13.0,454807.6923076923,518755.9861538462,236461.20153846155,-63948.29384615385
Westridge,4.0,1162200.0,749581.3425,310994.66000000003,412618.6575
Westview Village,10.0,124210.0,567027.743,228472.65600000002,-442817.7430000001
Westwood,6.0,552781.6666666666,371795.6866666667,165669.00666666668,180985.97999999998
Windermere,2.0,1167375.0,969507.615,399950.49000000005,197867.38500000007
Windermere Neighbourhood,14.0,555732.1428571428,751234.3857142858,343349.65857142856,-195502.24285714282
Windermere Neighbourhood 5,1.0,439900.0,4618760.48,2512605.7,-4178860.4800000004
Windsor Park,9.0,1730944.4444444445,1695644.7455555554,813909.48,35299.69888888895
Woodcroft,4.0,227623.75,210869.4925,101217.36000000002,16754.2575
Wîhkwêntôwin,2.0,126500.0,3180307.66,1721952.7799999996,-3053807.66
Yellowbird,6.0,558616.6666666666,513157.0516666667,224166.1633333333,45459.61500000002
Yellowhead Corridor East,7.0,301955.71428571426,931746.1757142858,488238.9028571429,-629790.4614285715
Yellowhead Corridor West,1.0,129500.0,855803.43,410785.64,-726303.43
York,6.0,302233.3333333333,347145.6616666667,152206.34666666665,-44912.32833333333
