neighbourhood,price,address,beds,baths,sqft,listing_url,raw_text
Magrath Heights,"$585,000",,,,1940,https://www.realtor.ca/real-estate/29401038/1239-mckinney-ct-nw-edmonton-magrath-heights,"$585,000 1239 MCKINNEY CT NW, Edmonton, Alberta 3 3 1940 sqft"
Magrath Heights,"$349,888",,,,1262,https://www.realtor.ca/real-estate/29390699/105-160-magrath-rd-nw-edmonton-magrath-heights,"$349,888 #105 160 Magrath RD NW, Edmonton, Alberta 2 2 1262 sqft"
Magrath Heights,"$1,398,800",,,,3402,https://www.realtor.ca/real-estate/29358937/2426-martell-cr-nw-edmonton-magrath-heights,"$1,398,800 2426 MARTELL CR NW, Edmonton, Alberta 4 5 3402 sqft"
Malmo Plains,"$669,000",,,,1326,https://www.realtor.ca/real-estate/29529886/11712-48-av-nw-edmonton-malmo-plains,"CAD Sign In My Account My Settings My Hidden Listings Email Notification Settings Sign Out EN FR Find a Home Find a REALTOR® Location Name Office Resources and Tools Mortgage Options Payment Calculator Refinance Calculator Land Transfer Tax Calculator Affordability Calculator Living Room Blog Home Real Estate 101 Market Trends Buying or Selling REAL Stories Neighbourhood Guides Home Improvements and Design Map List Malmo Plains, Edmonton, AB Transaction Type For sale Min Price Min Price Max Price Max Price Beds Beds Baths Baths Filters Save Search Results: 4 Listings Sort By Newest Oldest Lowest price Highest price Newest $669,000 11712 48 AV NW, Edmonton, Alberta 4 3 1326 sqft 7 days ago $499,900 11459 51 AV NW, Edmonton, Alberta 3 3 1226 sqft $189,900 #415 12111 51 AV NW, Edmonton, Alberta 1 1 695 sqft $449,900 11607 46 AV NW, Edmonton, Alberta 1 1 1 1 Map Satellite Schools Schools TYPE Public Private LEVEL Elementary Secondary LANGUAGE English French Other Lifestyle Lifestyle Pedestrian friendly Transit friendly Car friendly Groceries Elementary schools High schools Daycares Restaurants Coffee Shops Nightlife Shopping Quiet Vibrancy Keyboard shortcuts Map data ©2026 Google Terms Report a map error Draw Search within boundary Show more listings Remove Boundary Draw your boundary Find a REALTOR® Create an Account Commercial Resources Tips for Buyers Tips for Sellers Canada Real Estate Living Room Blog About REALTOR.ca REALTOR.ca DDF® About CREA REALTOR® Code of Ethics REALTORS Care® Send Feedback Contact Us Privacy Policy Terms of Use Accessibility Careers Download the REALTOR.ca app Stay Connected Trusted listings from REALTOR® Agents. The MLS® mark and associated logos identify professional services rendered by REALTOR® members of CREA to effect the purchase, sale and lease of real estate as part of a cooperative selling system. ©2026 REALTOR.ca Canada Inc. All rights reserved. The trademarks REALTOR®, REALTORS® and the REALTOR® logo are controlled by CREA and identify real estate professionals who are members of CREA."
Malmo Plains,"$669,000",,,,1326,,"$669,000 11712 48 AV NW, Edmonton, Alberta 4 3 1326 sqft"
Malmo Plains,"$499,900",,,,1226,https://www.realtor.ca/real-estate/29492804/11459-51-av-nw-edmonton-malmo-plains,"$499,900 11459 51 AV NW, Edmonton, Alberta 3 3 1226 sqft"
Malmo Plains,"$189,900",,,,695,https://www.realtor.ca/real-estate/29396011/415-12111-51-av-nw-edmonton-malmo-plains,"$189,900 #415 12111 51 AV NW, Edmonton, Alberta 1 1 695 sqft"
Malmo Plains,"$449,900",,,,,https://www.realtor.ca/real-estate/28699085/11607-46-av-nw-edmonton-malmo-plains,"$449,900 11607 46 AV NW, Edmonton, Alberta"
Maple,"$449,900",,,,1409,https://www.realtor.ca/real-estate/29557936/4126-6a-st-nw-edmonton-maple-crest,"CAD Sign In My Account My Settings My Hidden Listings Email Notification Settings Sign Out EN FR Find a Home Find a REALTOR® Location Name Office Resources and Tools Mortgage Options Payment Calculator Refinance Calculator Land Transfer Tax Calculator Affordability Calculator Living Room Blog Home Real Estate 101 Market Trends Buying or Selling REAL Stories Neighbourhood Guides Home Improvements and Design Map List Maple, Edmonton, AB Transaction Type For sale Min Price Min Price Max Price Max Price Beds Beds Baths Baths Filters Save Search Results: 27 Listings Sort By Newest Oldest Lowest price Highest price Newest $449,900 4126 6A ST NW, Edmonton, Alberta 3 3 1409 sqft 1 day ago $529,900 2652 MAPLE WY NW, Edmonton, Alberta 3 4 1539 sqft 4 days ago $1,350,000 304 33 AV NW, Edmonton, Alberta 8 7 3641 sqft 5 days ago $549,000 4158 6A ST NW, Edmonton, Alberta 4 4 1604 sqft 5 days ago $649,000 724 40 AV NW, Edmonton, Alberta 6 4 2354 sqft 6 days ago $499,900 839 37 Avenue, Edmonton, Alberta 3 + 1 3 1617 sqft $474,900 2093 MAPLE RD NW, Edmonton, Alberta 3 3 1411 sqft $650,000 729 37A AV NW, Edmonton, Alberta 6 4 2450 sqft Apr 12 $1,249,000 4112 8 ST NW, Edmonton, Alberta 6 6 3720 sqft $759,000 3003 4 ST NW, Edmonton, Alberta 6 5 2291 sqft $619,800 728 43 AV NW, Edmonton, Alberta 3 3 2430 sqft $609,000 4452 6 ST NW, Edmonton, Alberta 5 4 2606 sqft 1 2 3 1 of 3 5 5 3 2 8 4 Map Satellite Schools Schools TYPE Public Private LEVEL Elementary Secondary LANGUAGE English French Other Lifestyle Lifestyle Pedestrian friendly Transit friendly Car friendly Groceries Elementary schools High schools Daycares Restaurants Coffee Shops Nightlife Shopping Quiet Vibrancy Keyboard shortcuts Map data ©2026 Google Terms Report a map error Draw Search within boundary Show more listings Remove Boundary Draw your boundary Find a REALTOR® Create an Account Commercial Resources Tips for Buyers Tips for Sellers Canada Real Estate Living Room Blog About REALTOR.ca REALTOR.ca DDF® About CREA REALTOR® Code of Ethics REALTORS Care® Send Feedback Contact Us Privacy Policy Terms of Use Accessibility Careers Download the REALTOR.ca app Stay Connected Trusted listings from REALTOR® Agents. The MLS® mark and associated logos identify professional services rendered by REALTOR® members of CREA to effect the purchase, sale and lease of real estate as part of a cooperative selling system. ©2026 REALTOR.ca Canada Inc. All rights reserved. The trademarks REALTOR®, REALTORS® and the REALTOR® logo are controlled by CREA and identify real estate professionals who are members of CREA."
Maple,"$449,900",,,,1409,,"$449,900 4126 6A ST NW, Edmonton, Alberta 3 3 1409 sqft"
