address,beds,baths,square_footage,price,link,neighborhood,lat,long
14911 96 ST NW,4,2,925,"$425,000",https://www.realtor.ca/real-estate/29519326/14911-96-st-nw-edmonton-evansdale,McCauley,53.5576480,-113.4879422
8707 151 AV NW,3,3,1146,"$424,900",https://www.realtor.ca/real-estate/29518138/8707-151-av-nw-edmonton-evansdale,Evansdale,53.6120458,-113.4741641
15236 94A ST NW,,,,"$179,999",https://www.realtor.ca/real-estate/29407156/15236-94a-st-nw-edmonton-evansdale,Evansdale,53.6136690,-113.4868639
7620 98A AV NW,3,3,1839,"$1,049,000",https://www.realtor.ca/real-estate/29495994/7620-98a-av-nw-edmonton-forest-heights-edmonton,Forest Heights,53.5388053,-113.4459644
10430 79St NW NW,,,,"$399,000",https://www.realtor.ca/real-estate/29463666/10430-79st-nw-nw-edmonton-forest-heights-edmonton,Forest Heights,53.5472720,-113.4481607
10617/19/21 83 ST NW,10,7,3812,"$1,990,000",https://www.realtor.ca/real-estate/29411819/106171921-83-st-nw-edmonton-forest-heights-edmonton,Forest Heights,53.5498242,-113.4551417
10629 79 ST NW,3,2,1624,"$865,000",https://www.realtor.ca/real-estate/29404428/10629-79-st-nw-edmonton-forest-heights-edmonton,Forest Heights,53.5500491,-113.4488968
9847 79 ST NW,5,2,1206,"$574,999",https://www.realtor.ca/real-estate/29389774/9847-79-st-nw-edmonton-forest-heights-edmonton,Forest Heights,53.5392361,-113.4489307
10139 80 ST NW,5,3,5005,"$1,475,000",https://www.realtor.ca/real-estate/29364050/10139-80-st-nw-edmonton-forest-heights-edmonton,Forest Heights,53.5423418,-113.4505449
9909 77 ST NW,5,2,1139,"$519,900",https://www.realtor.ca/real-estate/29333988/9909-77-st-nw-edmonton-forest-heights-edmonton,Forest Heights,53.5396694,-113.4457604
10511 80 ST NW,5,2,1028,"$499,900",https://www.realtor.ca/real-estate/29332832/10511-80-st-nw-edmonton-forest-heights-edmonton,Forest Heights,53.5482273,-113.4505954
10536 76 ST NW,5,2,1160,"$489,000",https://www.realtor.ca/real-estate/29305407/10536-76-st-nw-edmonton-forest-heights-edmonton,Forest Heights,53.5491426,-113.4449152
7509 ROWLAND RD NW,3,3,2033,"$838,800",https://www.realtor.ca/real-estate/29255440/7509-rowland-rd-nw-edmonton-forest-heights-edmonton,Forest Heights,53.5512815,-113.4489336
