neighbourhood_number,neighbourhood,ward,population_2021,households_2021,area_sq_km,population_characteristic,households_characteristic,source_area_id,geography_level
4580,WEST JASPER PLACE,Nakota Isga,3040.0,1465.0,0.883173979818821,total_population,sum_household_size_distribution,N4580,neighbourhood
4590,WEST MEADOWLARK PARK,sipiwiyiniwak,3390.0,1255.0,1.1075799614191055,total_population,sum_household_size_distribution,N4590,neighbourhood
4600,WEST SHEFFIELD INDUSTRIAL,Nakota Isga,,,0.6187771484255791,,,N4600,neighbourhood
4610,WESTRIDGE,sipiwiyiniwak,1330.0,490.0,0.7244519032537937,total_population,sum_household_size_distribution,N4610,neighbourhood
4620,WESTVIEW VILLAGE,Nakota Isga,2220.0,970.0,0.9174612276256084,total_population,sum_household_size_distribution,N4620,neighbourhood
4630,WHITE INDUSTRIAL,Nakota Isga,,,1.9094593487679958,,,N4630,neighbourhood
4640,WILSON INDUSTRIAL,Nakota Isga,,,0.9880503341555595,,,N4640,neighbourhood
4650,WINTERBURN INDUSTRIAL AREA EAST,Nakota Isga,,,5.592356521636248,,,N4650,neighbourhood
4660,YOUNGSTOWN INDUSTRIAL,Nakota Isga,,,0.4797711819410324,,,N4660,neighbourhood
4670,WINTERBURN INDUSTRIAL AREA WEST,Nakota Isga,,,4.3035687282681465,,,N4670,neighbourhood
4700,BRECKENRIDGE GREENS,Nakota Isga,1840.0,750.0,0.5604905262589455,total_population,sum_household_size_distribution,N4700,neighbourhood
4710,POTTER GREENS,Nakota Isga,1460.0,560.0,1.1719324178993702,total_population,sum_household_size_distribution,N4710,neighbourhood
4720,GLASTONBURY,sipiwiyiniwak,6445.0,2395.0,1.757120631635189,total_population,sum_household_size_distribution,N4720,neighbourhood
4730,SUDER GREENS,Nakota Isga,3350.0,1170.0,0.9789199084043503,total_population,sum_household_size_distribution,N4730,neighbourhood
4740,WEBBER GREENS,Nakota Isga,3190.0,935.0,1.122022457420826,total_population,sum_household_size_distribution,N4740,neighbourhood
4750,ROSENTHAL,Nakota Isga,4875.0,1660.0,2.6312426067888737,total_population,sum_household_size_distribution,N4750,neighbourhood
5010,ALLENDALE,papastew,2845.0,1315.0,0.8760533779859543,total_population,sum_household_size_distribution,N5010,neighbourhood
5020,ASPEN GARDENS,papastew,1655.0,620.0,0.6606584377586842,total_population,sum_household_size_distribution,N5020,neighbourhood
5030,BEARSPAW,Ipiihkoohkanipiaohtsi,2180.0,865.0,0.8578564375638962,total_population,sum_household_size_distribution,N5030,neighbourhood
5040,BELGRAVIA,papastew,2255.0,925.0,0.8601990453898907,total_population,sum_household_size_distribution,N5040,neighbourhood
5050,BLACKMUD CREEK RAVINE,Ipiihkoohkanipiaohtsi,,,0.868120726197958,,,N5050,neighbourhood
5060,BLUE QUILL,Ipiihkoohkanipiaohtsi,4565.0,1905.0,1.0490631610155106,total_population,sum_household_size_distribution,N5060,neighbourhood
5070,BLUE QUILL ESTATES,Ipiihkoohkanipiaohtsi,1405.0,550.0,0.4387756325304508,total_population,sum_household_size_distribution,N5070,neighbourhood
5080,BRANDER GARDENS,pihêsiwin,2420.0,1040.0,1.0080637447535992,total_population,sum_household_size_distribution,N5080,neighbourhood
5090,BROOKSIDE,pihêsiwin,1960.0,700.0,1.1847991906106472,total_population,sum_household_size_distribution,N5090,neighbourhood
5100,BULYEA HEIGHTS,pihêsiwin,3505.0,1265.0,1.4685359187424183,total_population,sum_household_size_distribution,N5100,neighbourhood
5110,CALGARY TRAIL NORTH,papastew,,,0.7408656217157841,,,N5110,neighbourhood
5120,CALGARY TRAIL SOUTH,papastew,,,0.6484597697854042,,,N5120,neighbourhood
5130,CARTER CREST,pihêsiwin,1615.0,600.0,0.6611489281058311,total_population,sum_household_size_distribution,N5130,neighbourhood
5151,STRATHCONA JUNCTION,papastew,,,0.5816268175840378,,,N5151,neighbourhood
5160,DUGGAN,papastew,4570.0,1790.0,1.3783219829201698,total_population,sum_household_size_distribution,N5160,neighbourhood
5170,EMPIRE PARK,papastew,4820.0,2225.0,1.0630373433232307,total_population,sum_household_size_distribution,N5170,neighbourhood
5180,ERMINESKIN,Ipiihkoohkanipiaohtsi,5485.0,2575.0,1.1939570754766464,total_population,sum_household_size_distribution,N5180,neighbourhood
5190,FALCONER HEIGHTS,pihêsiwin,1800.0,595.0,0.6448075771331787,total_population,sum_household_size_distribution,N5190,neighbourhood
5200,GARNEAU,papastew,6605.0,3820.0,0.8219479285180569,total_population,sum_household_size_distribution,N5200,neighbourhood
5210,GRANDVIEW HEIGHTS,papastew,1195.0,355.0,0.557110570371151,total_population,sum_household_size_distribution,N5210,neighbourhood
5220,GREENFIELD,papastew,3715.0,1425.0,1.5169405490159988,total_population,sum_household_size_distribution,N5220,neighbourhood
5230,HENDERSON ESTATES,pihêsiwin,1735.0,600.0,0.7801405005156994,total_population,sum_household_size_distribution,N5230,neighbourhood
5250,KEHEEWIN,Ipiihkoohkanipiaohtsi,2720.0,1180.0,1.2551640160381794,total_population,sum_household_size_distribution,N5250,neighbourhood
5260,LANSDOWNE,papastew,1115.0,460.0,0.5736181400716305,total_population,sum_household_size_distribution,N5260,neighbourhood
